"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.02445,0.00881708714037837,"Betw Targeted"
"2",0.01,0.02765,0.0188156372501227,"Betw Targeted"
"3",0.02,0.0185,0.00769282049572764,"Betw Targeted"
"4",0.03,0.02715,0.00841107328740832,"Betw Targeted"
"5",0.04,0.027325,0.0214229537813521,"Betw Targeted"
"6",0.05,0.0812,0.213623464571158,"Betw Targeted"
"7",0.06,0.2937,0.438775171679131,"Betw Targeted"
"8",0.07,0.7539,0.426212947859491,"Betw Targeted"
"9",0.08,0.9241,0.259008840557961,"Betw Targeted"
"10",0.09,0.99695,0.000220721427863152,"Betw Targeted"
"11",0.1,0.99695,0.000220721427863152,"Betw Targeted"
"12",0.11,0.997,0,"Betw Targeted"
"13",0.12,0.997,0,"Betw Targeted"
"14",0.13,0.997,0,"Betw Targeted"
"15",0.14,0.997,0,"Betw Targeted"
"16",0.15,0.997,0,"Betw Targeted"
"17",0.16,0.997,0,"Betw Targeted"
"18",0.17,0.997,0,"Betw Targeted"
"19",0.18,0.997,0,"Betw Targeted"
"20",0.19,0.997,0,"Betw Targeted"
"21",0.2,0.997,0,"Betw Targeted"
"22",0.21,0.997,0,"Betw Targeted"
"23",0.22,0.997,0,"Betw Targeted"
"24",0.23,0.997,0,"Betw Targeted"
"25",0.24,0.997,0,"Betw Targeted"
"26",0.25,0.997,0,"Betw Targeted"
"27",0,0.0237,0.00878576937949908,"Random"
"28",0.01,0.023625,0.0123572619571215,"Random"
"29",0.02,0.034975,0.021960906407897,"Random"
"30",0.03,0.105775,0.25828204495007,"Random"
"31",0.04,0.243025,0.412658577910452,"Random"
"32",0.05,0.56,0.491506423256669,"Random"
"33",0.06,0.901725,0.29508877304018,"Random"
"34",0.07,0.902,0.294240613208881,"Random"
"35",0.08,0.99895,0.000220721427863152,"Random"
"36",0.09,0.998975,0.000158113883008419,"Random"
"37",0.1,0.999,0,"Random"
"38",0.11,0.999,0,"Random"
"39",0.12,0.999,0,"Random"
"40",0.13,0.999,0,"Random"
"41",0.14,0.999,0,"Random"
"42",0.15,0.999,0,"Random"
"43",0.16,0.999,0,"Random"
"44",0.17,0.999,0,"Random"
"45",0.18,0.999,0,"Random"
"46",0.19,0.999,0,"Random"
"47",0.2,0.999,0,"Random"
"48",0.21,0.999,0,"Random"
"49",0.22,0.999,0,"Random"
"50",0.23,0.999,0,"Random"
"51",0.24,0.999,0,"Random"
"52",0.25,0.999,0,"Random"
"53",0,0.02095,0.00441413812477763,"Deg targeted"
"54",0.01,0.02385,0.0136673858472436,"Deg targeted"
"55",0.02,0.03305,0.017170263501704,"Deg targeted"
"56",0.03,0.0513,0.154199038874254,"Deg targeted"
"57",0.04,0.19345,0.375943186515169,"Deg targeted"
"58",0.05,0.4906,0.48986281700817,"Deg targeted"
"59",0.06,0.87835,0.322798146818943,"Deg targeted"
"60",0.07,0.9988,0.000563869415688348,"Deg targeted"
"61",0.08,0.998925,0.000266746782836919,"Deg targeted"
"62",0.09,0.998975,0.000158113883008419,"Deg targeted"
"63",0.1,0.99895,0.000220721427863152,"Deg targeted"
"64",0.11,0.999,0,"Deg targeted"
"65",0.12,0.999,0,"Deg targeted"
"66",0.13,0.999,0,"Deg targeted"
"67",0.14,0.999,0,"Deg targeted"
"68",0.15,0.999,0,"Deg targeted"
"69",0.16,0.999,0,"Deg targeted"
"70",0.17,0.999,0,"Deg targeted"
"71",0.18,0.999,0,"Deg targeted"
"72",0.19,0.999,0,"Deg targeted"
"73",0.2,0.999,0,"Deg targeted"
"74",0.21,0.999,0,"Deg targeted"
"75",0.22,0.999,0,"Deg targeted"
"76",0.23,0.999,0,"Deg targeted"
"77",0.24,0.999,0,"Deg targeted"
"78",0.25,0.999,0,"Deg targeted"
